sample_id,Diet,Sex,Wave,BMI_17wk,TC_18wk
DO0561,HC/LF,Female,1,2.703601108,63.14606742
DO0562,HF/LC,Female,1,2.734414856,75.90425532
DO0563,HC/LF,Female,1,2.581369248,80.38043478
DO0564,HF/LC,Female,1,3.35,97.23404255
DO0565,HC/LF,Female,1,2.973090278,52.28723404
DO0566,HF/LC,Female,1,2.581369248,91.48351648
DO0567,HC/LF,Female,1,2.393351801,54.84375
DO0568,HF/LC,Female,1,2.449185709,69.47916667
DO0569,HC/LF,Female,1,2.367105397,51.17021277
DO0570,HF/LC,Female,1,3.02734375,104.8295455
DO0571,HC/LF,Female,1,2.667658625,48.84615385
DO0572,HF/LC,Female,1,2.53,67.36263736
DO0573,HC/LF,Female,1,2.439318923,91.81318681
DO0574,HF/LC,Female,1,2.707205331,115.4945055
DO0575,HC/LF,Female,1,2.929705215,37.02247191
DO0576,HF/LC,Female,1,2.64,113.1521739
DO0577,HC/LF,Female,1,2.784065188,70.28409091
DO0578,HF/LC,Female,1,2.83203125,97.65957447
DO0579,HC/LF,Female,1,2.465724307,75.65217391
DO0580,HF/LC,Female,1,2.999693909,91.81318681
DO0581,HC/LF,Female,1,2.693526483,71.64835165
DO0582,HF/LC,Female,1,2.634319034,91.14130435
DO0583,HC/LF,Female,1,2.563799622,55.10752688
DO0584,HF/LC,Female,1,2.114839319,70.54347826
DO0585,HC/LF,Female,1,2.584228958,50.16304348
DO0586,HF/LC,Female,1,2.654320988,74.38202247
DO0587,HC/LF,Female,1,2.614958449,71.37362637
DO0589,HC/LF,Female,1,2.789256198,79.29347826
DO0590,HF/LC,Female,1,2.300844028,110.6043956
DO0591,HC/LF,Female,1,2.814404432,59.36842105
DO0593,HC/LF,Female,1,2.543646664,78.63636364
DO0594,HF/LC,Female,1,2.44140625,58.46153846
DO0595,HC/LF,Female,1,2.670891806,46.04395604
DO0596,HF/LC,Female,1,2.485836513,97.08791209
DO0597,HC/LF,Female,1,2.294408888,32.7173913
DO0598,HF/LC,Female,1,2.312406059,54.05555556
DO0599,HC/LF,Female,1,2.795196089,62.11111111
DO0600,HF/LC,Female,1,2.691358025,53.05263158
DO0601,HC/LF,Female,1,2.32,63.90625
DO0602,HF/LC,Female,1,2.581369248,144.3406593
DO0603,HC/LF,Female,1,2.790123457,80.58510638
DO0604,HF/LC,Female,1,2.415660142,69.27777778
DO0605,HC/LF,Female,1,2.451394759,43.51648352
DO0606,HF/LC,Female,1,2.95382526,
DO0607,HC/LF,Female,1,3.02734375,79.3956044
DO0608,HF/LC,Female,1,2.408854167,80.10752688
DO0609,HC/LF,Female,1,2.550183058,59.83146067
DO0610,HF/LC,Female,1,2.16066482,61.73913043
DO0611,HC/LF,Male,1,3.04,77.83333333
DO0612,HF/LC,Male,1,3.450520833,80.05555556
DO0613,HC/LF,Male,1,2.983940972,62.9787234
DO0614,HF/LC,Male,1,3.498654364,112.9120879
DO0615,HC/LF,Male,1,3.103298611,97.03296703
DO0616,HF/LC,Male,1,3.244357639,91.19791667
DO0617,HC/LF,Male,1,3.05,55.93406593
DO0618,HF/LC,Male,1,2.728029988,75.32967033
DO0619,HC/LF,Male,1,3.319156805,128.4444444
DO0620,HF/LC,Male,1,3.035158827,73.95833333
DO0621,HC/LF,Male,1,3.883495146,98.26086957
DO0622,HF/LC,Male,1,3.845791309,126.5425532
DO0623,HC/LF,Male,1,3.156552237,93.65168539
DO0624,HF/LC,Male,1,3.75,158.1818182
DO0625,HC/LF,Male,1,3.157696296,72.02247191
DO0626,HF/LC,Male,1,3.987184051,130.8510638
DO0627,HC/LF,Male,1,3.145924115,100.0543478
DO0628,HF/LC,Male,1,4.133025759,108.4615385
DO0629,HC/LF,Male,1,3.095463138,95
DO0630,HF/LC,Male,1,3.76433683,65.27777778
DO0631,HC/LF,Male,1,3.373594336,64.41489362
DO0632,HF/LC,Male,1,3.851864792,150.1630435
DO0633,HC/LF,Male,1,3.795531068,137.9545455
DO0634,HF/LC,Male,1,3.787004998,100.4891304
DO0635,HC/LF,Male,1,3.142536476,84.94505495
DO0637,HC/LF,Male,1,2.825484765,61.27659574
DO0638,HF/LC,Male,1,3.148270337,103.3146067
DO0639,HC/LF,Male,1,3.854875283,89.61538462
DO0640,HF/LC,Male,1,2.936288089,106.25
DO0641,HC/LF,Male,1,3.691609977,98.48958333
DO0642,HF/LC,Male,1,3.764520919,115.2840909
DO0643,HC/LF,Male,1,3.379742799,66.4516129
DO0644,HF/LC,Male,1,3.008458285,92.23958333
DO0645,HC/LF,Male,1,3.634817728,115.1685393
DO0646,HF/LC,Male,1,2.836565097,57.39361702
DO0647,HC/LF,Male,1,3.498654364,92.41573034
DO0648,HF/LC,Male,1,3.475395898,79.94505495
DO0649,HC/LF,Male,1,3.346260388,107.688172
DO0650,HF/LC,Male,1,3.550603915,93
DO0651,HC/LF,Male,1,3.736961451,111.043956
DO0652,HF/LC,Male,1,2.907866544,117.3888889
DO0653,HC/LF,Male,1,2.936276551,72.22222222
DO0654,HF/LC,Male,1,3.342357351,65.96774194
DO0655,HC/LF,Male,1,3.327801555,100.4395604
DO0656,HF/LC,Male,1,3.02,130.2247191
DO0657,HC/LF,Male,1,3.196584756,60.05494505
DO0658,HF/LC,Male,1,2.919873246,68.44086022
DO0659,HC/LF,Male,1,3.050271017,64.45652174
DO0660,HF/LC,Male,1,4.69,113.2417582
DO0661,HC/LF,Female,2,2.68194707,73.20652174
DO0662,HF/LC,Female,2,2.371191136,84.73958333
DO0663,HC/LF,Female,2,2.489541883,116.5168539
DO0664,HF/LC,Female,2,2.469135802,96.02150538
DO0665,HC/LF,Female,2,2.543904959,50.88541667
DO0666,HF/LC,Female,2,2.508236795,61.86813187
DO0667,HC/LF,Female,2,2.987777275,71.16666667
DO0668,HF/LC,Female,2,2.729138993,61.59340659
DO0669,HC/LF,Female,2,2.49,70.43956044
DO0670,HF/LC,Female,2,2.111111111,76.48351648
DO0671,HC/LF,Female,2,2.38069933,56.31868132
DO0672,HF/LC,Female,2,3.854875283,86.44444444
DO0673,HC/LF,Female,2,2.728639149,103.3146067
DO0674,HF/LC,Female,2,2.647704937,75.63829787
DO0675,HC/LF,Female,2,2.681440443,64.14893617
DO0676,HF/LC,Female,2,2.518518519,66.02150538
DO0677,HC/LF,Female,2,2.489951965,80.76923077
DO0678,HF/LC,Female,2,2.975874163,114.4382022
DO0679,HC/LF,Female,2,2.456790123,80.61111111
DO0680,HF/LC,Female,2,2.444545043,121.5934066
DO0681,HC/LF,Female,2,2.373437697,93.94444444
DO0682,HF/LC,Female,2,2.493074792,85.71428571
DO0683,HC/LF,Female,2,2.75,62.30769231
DO0684,HF/LC,Female,2,2.71,58.90625
DO0685,HC/LF,Female,2,2.451150422,74.72826087
DO0686,HF/LC,Female,2,2.729206049,66.25
DO0687,HC/LF,Female,2,2.364909499,51.72222222
DO0688,HF/LC,Female,2,2.636142907,92.23404255
DO0689,HC/LF,Female,2,3.176652893,65.625
DO0690,HF/LC,Female,2,2.776465028,58.97727273
DO0691,HC/LF,Female,2,2.847633136,54.46808511
DO0692,HF/LC,Female,2,2.897238569,98.79120879
DO0693,HC/LF,Female,2,2.717617659,56.75531915
DO0694,HF/LC,Female,2,3.129418418,81.48351648
DO0695,HC/LF,Female,2,2.561432736,65.2247191
DO0696,HF/LC,Female,2,2.484809028,76.32978723
DO0697,HC/LF,Female,2,2.561377405,52.36263736
DO0698,HF/LC,Female,2,3.046905037,68.53932584
DO0699,HC/LF,Female,2,2.244456463,84.24731183
DO0700,HF/LC,Female,2,2.45,65
DO0701,HC/LF,Female,2,2.43767313,74.58333333
DO0702,HF/LC,Female,2,4.132766272,45.92391304
DO0703,HC/LF,Female,2,2.444468062,97.85714286
DO0704,HF/LC,Female,2,2.45,74.7826087
DO0705,HC/LF,Female,2,3.34,102.8651685
DO0706,HF/LC,Female,2,2.540121161,68.29545455
DO0707,HC/LF,Female,2,2.994791667,70.48913043
DO0708,HF/LC,Female,2,2.867054382,74.20212766
DO0709,HC/LF,Female,2,3.335048011,83.07692308
DO0710,HF/LC,Female,2,3.14,109.4021739
DO0711,HF/LC,Female,2,2.16813689,
DO0712,HC/LF,Male,2,3.32,66.97802198
DO0713,HF/LC,Male,2,3.79,92.95698925
DO0714,HC/LF,Male,2,2.994565846,
DO0715,HF/LC,Male,2,3.652441369,154
DO0716,HC/LF,Male,2,3.420857988,99.41489362
DO0717,HF/LC,Male,2,3.494822485,131.6145833
DO0718,HC/LF,Male,2,2.848336699,90.70652174
DO0720,HC/LF,Male,2,3.09,52.29166667
DO0721,HF/LC,Male,2,3.605769231,124.3478261
DO0722,HC/LF,Male,2,3.476286139,132.0879121
DO0723,HF/LC,Male,2,3.45,93.57142857
DO0724,HC/LF,Male,2,3.758850479,84.43820225
DO0725,HF/LC,Male,2,4.058383766,100.923913
DO0726,HC/LF,Male,2,3.705519067,113.3516484
DO0727,HF/LC,Male,2,3.071636818,63.9893617
DO0728,HC/LF,Male,2,3.657272127,109.5604396
DO0729,HF/LC,Male,2,3.587278107,120.7065217
DO0730,HC/LF,Male,2,2.821180556,61.51685393
DO0731,HF/LC,Male,2,2.811328613,131.7032967
DO0732,HC/LF,Male,2,3.138844377,140.2272727
DO0733,HF/LC,Male,2,3.904271115,90.84269663
DO0734,HC/LF,Male,2,3.473922902,72.60638298
DO0735,HF/LC,Male,2,3.534626039,87.81914894
DO0736,HC/LF,Male,2,3.306420607,84.24731183
DO0738,HC/LF,Male,2,3.01,89.34065934
DO0739,HF/LC,Male,2,3.186172428,84.88888889
DO0740,HC/LF,Male,2,3.142536476,122.8021978
DO0741,HF/LC,Male,2,3.23,115.1098901
DO0742,HC/LF,Male,2,3.176548214,73.58695652
DO0743,HF/LC,Male,2,2.918069585,123.2967033
DO0744,HC/LF,Male,2,3.247165533,106.5555556
DO0745,HF/LC,Male,2,3.665139525,85.27472527
DO0746,HC/LF,Male,2,3.132231405,90.33333333
DO0747,HF/LC,Male,2,3.285379043,98.07291667
DO0748,HC/LF,Male,2,3.381986472,76.30434783
DO0749,HF/LC,Male,2,3.365067396,100.2659574
DO0750,HC/LF,Male,2,3.902345252,73.98876404
DO0751,HF/LC,Male,2,3.114186851,80.39325843
DO0752,HC/LF,Male,2,3.402771232,105.1595745
DO0753,HF/LC,Male,2,3.64544585,90.54945055
DO0754,HC/LF,Male,2,3.02,46.25
DO0755,HF/LC,Male,2,3.18,85.72222222
DO0756,HC/LF,Male,2,2.657596372,
DO0757,HF/LC,Male,2,3.2241608,102.5568182
DO0758,HC/LF,Male,2,3.262833457,121.4285714
