sample_id,p__Firmicutes,p__Bacteroidota,p__Actinobacteriota,p__Proteobacteria,p__Verrucomicrobiota,p__Firmicutes;c__Clostridia,p__Bacteroidota;c__Bacteroidia,p__Firmicutes;c__Bacilli,p__Actinobacteriota;c__Actinobacteria,p__Proteobacteria;c__Gammaproteobacteria,p__Verrucomicrobiota;c__Verrucomicrobiae,p__Actinobacteriota;c__Coriobacteriia,p__Firmicutes;c__Clostridia;o__Lachnospirales,p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,p__Firmicutes;c__Bacilli;o__Erysipelotrichales,p__Firmicutes;c__Bacilli;o__Lactobacillales,p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,p__Firmicutes;c__Clostridia;o__Clostridia_UCG014,p__Firmicutes;c__Clostridia;o__Oscillospirales,p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,p__Firmicutes;c__Clostridia;o__Peptococcales,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136,p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia_Shigella,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_ventriosum,p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2,p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG001,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA_900066575,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG006,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__HT002,p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis,p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella,p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas,p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter,p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter,p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Marvinbryantia
DO0561,0.276456193,0.425696386,0.226586524,0.015719462,0.055541434,0.120677023,0.425696386,0.15577917,0.222100945,0.015719462,0.055541434,0.004485579,0.103985686,0.425696386,0.222100945,0.090075408,0.06542466,0.001465289,0.055541434,0.000264151,0.013267345,0.004485579,0.014254173,0.001081523,0.103985686,0.424739463,0.222100945,0.073628285,0.065295076,0.001465289,0.016447123,0.055541434,0.000956923,0.009429684,0.00260662,0.004485579,0.014254173,0.001081523,0.222100945,0.000204343,0.06157703,0.032944085,0.001465289,0.000622997,0.016447123,0.00304521,0.021705218,0.055541434,0.073159791,0.000956923,1.5e-05,0.003463864,9.97e-06,0.00255678,0.000403702,0,0.003718046,0.001555001,0.004141684,0.014254173,0.001181202,0.001619792,0.000966891,0.001794232
DO0562,0.474666686,0.413255745,0.00596627,0.035589411,0.070521887,0.22506336,0.413255745,0.249603326,0.000717963,0.035589411,0.070521887,0.005248307,0.200979301,0.413255745,0.000717963,0.073767079,0.175836247,0.003004674,0.070521887,3.59e-06,0.023962005,0.005248307,0.032584738,2.51e-05,0.200979301,0.407178191,0.000717963,0.015095166,0.175836247,0.003004674,0.058671913,0.070521887,0.006077554,0.020038339,0.003902127,0.005248307,0.032584738,2.51e-05,0.000717963,0,0.124157291,0.064329459,0.003004674,0.000527703,0.058671913,0.055968783,0.000179491,0.070521887,0.014901316,0.006077554,0.000136413,0.002247223,7.18e-06,0.040708486,0.000595909,2.51e-05,0.051678956,0.002642103,0.005248307,0.032584738,0.005452927,0.005883704,0.003374425,0.00095489
DO0563,0.456930348,0.36102402,0.121967433,0.002224537,0.057853662,0.426629539,0.36102402,0.03030081,0.11954923,0.002224537,0.057853662,0.002418202,0.373308698,0.36102402,0.11954923,0.02497239,0.00466891,0.000167495,0.057853662,0.019350854,0.031986224,0.002418202,0.002057042,0.001748224,0.373308698,0.349330807,0.11954923,0.002130321,0.004543289,0.000167495,0.022842068,0.057853662,0.011693213,0.019685843,0.011918284,0.002418202,0.002057042,0.001748224,0.11954923,0,0.002747957,0.097120664,0.000167495,0.111881121,0.015126851,0.014299847,0.02908124,0.057853662,0.001523154,0.011693213,0,0.001413235,3.14e-05,0.017288577,0.000439673,0,0.001795332,0.009908349,0.00230305,0.002057042,0.002512418,0.003527854,0.006867276,0.002983497
DO0564,0.670482475,0.255704073,0.067595928,0.006217524,0,0.639765216,0.255704073,0.03071726,0.059347048,0.006217524,0,0.008248881,0.58595109,0.255704073,0.059347048,0.028944031,0.001773229,4.49e-05,0,0,0.05315197,0.008248881,0.006172632,0,0.58595109,0.253481925,0.059347048,0,0.001773229,4.49e-05,0.028944031,0,0.002222147,0.04498165,0.007822408,0.008248881,0.006172632,0,0.059347048,0,0.001773229,0.043320651,4.49e-05,0.021896008,0.018035307,0.177390211,1.12e-05,0,0,0.002222147,0,0.020257455,0,0.0532642,0.036889891,0.000224459,0,0.003467897,0.008226435,0.006172632,0.012524831,0.009662974,0.00745205,0.001919127
DO0565,0.316737171,0.272930207,0.39815991,2.47e-05,0.012148046,0.232847823,0.272930207,0.083889348,0.391648064,2.47e-05,0.012148046,0.006511846,0.210722346,0.272930207,0.391648064,0.062590185,0.021299163,2.47e-05,0.012148046,0.000616652,0.020879839,0.006511846,0,0,0.210722346,0.253086344,0.391648064,0.062590185,0.021299163,2.47e-05,0,0.012148046,0.019843864,0.015033978,0.004698889,0.006511846,0,0,0.391648064,0,0.01520664,0.049862487,2.47e-05,0.052156432,0,0.027638346,0.006746174,0.012148046,0.062590185,0.019843864,0,0.003884908,0.00016033,0.003514917,0.00028366,0,0.006092522,0.002873599,0.00522921,0,0.001442966,0.002565273,0.005130545,0.002010286
DO0566,0.623297746,0.244309476,0.12674822,0.005644558,0,0.475319613,0.244309476,0.147978133,0.12106076,0.005644558,0,0.005687459,0.406487871,0.244309476,0.12106076,0.015781474,0.131779905,0.003812069,0,0,0.06835983,0.005687459,0.00183249,0,0.406487871,0.239326821,0.12106076,0,0.1315654,0.003812069,0.015781474,0,0.004982656,0.048766287,0.019293235,0.005687459,0.00183249,0,0.12106076,0,0.097796109,0.023791721,0.003812069,0.112652146,0.015615998,0.039285145,0.013716093,0,0,0.004982656,0,0.020586397,5.52e-05,0.008022505,0.014512827,0,0.03376929,0.016124683,0.005687459,0.00183249,0.002886631,0.010382065,0.008249268,0.002727284
DO0567,0.368335689,0.618741165,0.005155866,0.007767279,0,0.309969496,0.618741165,0.058366193,0,0.007767279,0,0.005155866,0.246975671,0.618741165,0,0.048619894,0.00864519,0.001346626,0,0.016873745,0.029945689,0.005155866,0.006420653,0.015854475,0.246975671,0.613094264,0,0.033397813,0.00765568,0.001346626,0.015222082,0,0.005646901,0.022245369,0.006428093,0.005155866,0.006420653,0.015854475,0,0,0.004196116,0.018971803,0.001346626,0.150427796,0.004523473,0.013979615,0.011308682,0,0.033330853,0.005646901,0,0.011732758,6.7e-05,0.00386132,0.000208318,0,0.003459564,0.00290901,0.00384644,0.006420653,0.00289413,0.006361134,0.004984748,0.002551893
DO0568,0.605513811,0.196779422,0.192684364,0.004766733,0.00025567,0.479563714,0.196779422,0.125950097,0.184004576,0.004766733,0.00025567,0.008679788,0.427047312,0.196779422,0.184004576,0.012519175,0.112967248,0.002522035,0.00025567,6.93e-05,0.052039729,0.008679788,0.002244698,1.3e-05,0.427047312,0.195566071,0.184004576,0.003986722,0.112928248,0.002522035,0.008532453,0.00025567,0.00121335,0.038983212,0.011808499,0.008679788,0.002244698,1.3e-05,0.184004576,0.000156002,0.101761091,0.182409887,0.002522035,0.079088774,0.007089433,0.022186977,0.01166983,0.00025567,0.003540383,0.00121335,3.03e-05,0.009074127,0.000260004,0.005798081,0.000645676,0,0.011167156,0.007171767,0.008484785,0.002244698,0.00357505,0.006864096,0.011219157,0.000372672
DO0569,0.454077033,0.364255701,0.17369694,0.004724068,0.003246257,0.174026985,0.364255701,0.280050049,0.169889115,0.004724068,0.003246257,0.003807826,0.156376999,0.364255701,0.169889115,0.270729989,0.009177204,0.002837396,0.003246257,0.000157633,0.016049024,0.003807826,0.001886672,0,0.156376999,0.330940922,0.169889115,0.220878509,0.00913287,0.002837396,0.04985148,0.003246257,0.033314779,0.013172219,0.002517204,0.003807826,0.001886672,0,0.169889115,0.211336778,0.007162456,0.041472294,0.002837396,0.019802663,0.049531288,0.014566287,0.005349675,0.003246257,0.009497397,0.033314779,0,0.000945799,0,0.00309355,0.000187189,0.002197012,0.001970414,0.001738891,0.003807826,0.001886672,0.00171426,0.003586154,0.00221179,0.001694556
DO0570,0.40683841,0.408906873,0.171721548,0.012533169,0,0.307708878,0.408906873,0.099129532,0.166475732,0.012533169,0,0.005245817,0.257488079,0.408906873,0.166475732,0.080425247,0.017093578,0.000656033,0,0.003285061,0.043165996,0.005245817,0.011877136,0.00046265,0.257488079,0.404716094,0.166475732,0.071686299,0.016782696,0.000656033,0.008738948,0,0.004190778,0.038600691,0.003994948,0.005245817,0.011877136,0.00046265,0.166475732,0.00020807,0.014254032,0.083781296,0.000656033,0.001177432,0.008738948,0.008313016,0.026804336,0,0.070988652,0.004190778,0.000469994,0.037220084,6.12e-05,0.007226155,0.004124685,0,0.002528665,0.00246502,0.00504509,0.011877136,0.009519823,0.004016979,0.004734209,0.002102733
