sample_id,text
DO0561,"The gut microbiome of the individual shows a relative abundance of 0.2764562% for Firmicutes, 0.4256964% for Bacteroidota, 0.2265865% for Actinobacteriota, 0.0157195% for Proteobacteria, 0.0555414% for Verrucomicrobiota, 0.1206770% for Clostridia, 0.4256964% for Bacteroidia, 0.1557792% for Bacilli, 0.2221009% for Actinobacteria, 0.0157195% for Gammaproteobacteria, 0.0555414% for Verrucomicrobiae, 0.0044856% for Coriobacteriia, 0.1039857% for Lachnospirales, 0.4256964% for Bacteroidales, 0.2221009% for Bifidobacteriales, 0.0900754% for Erysipelotrichales, 0.0654247% for Lactobacillales, 0.0014653% for Enterobacterales, 0.0555414% for Verrucomicrobiales, 0.0002642% for Clostridia UCG-014, 0.0132673% for Oscillospirales, 0.0044856% for Coriobacteriales, 0.0012310% for Other_Order_Level, 0.0142542% for Burkholderiales, 0.0010815% for Peptococcales, 0.1039857% for Lachnospiraceae, 0.4247395% for Muribaculaceae, 0.2221009% for Bifidobacteriaceae, 0.0736283% for Erysipelotrichaceae, 0.0652951% for Lactobacillaceae, 0.0014653% for Enterobacteriaceae, 0.0164471% for Erysipelatoclostridiaceae, 0.0555414% for Akkermansiaceae, 0.0002642% for Unknown Clostridia UCG-014 (Order) 1, 0.0009569% for Rikenellaceae, 0.0094297% for Oscillospiraceae, 0.0012310% for Other_Family_Level, 0.0026066% for Ruminococcaceae, 0.0044856% for Eggerthellaceae, 0.0142542% for Sutterellaceae, 0.0010815% for Peptococcaceae, 0.4247395% for Unknown Muribaculaceae (Family), 0.2221009% for Bifidobacterium, 0.0002043% for Turicibacter, 0.0366571% for Unknown Lachnospiraceae (Family), 0.0615770% for Lactobacillus, 0.0329441% for Lachnospiraceae NK4A136 group, 0.0014653% for Escherichia-Shigella, 0.0006230% for [Eubacterium] ventriosum group, 0.0164471% for Erysipelatoclostridium, 0.0030452% for Lachnoclostridium, 0.0217052% for A2, 0.0555414% for Akkermansia, 0.0731598% for Dubosiella, 0.0002642% for Unknown Clostridia UCG-014 (Order) 2, 0.0000000% for Unknown Erysipelatoclostridiaceae (Family), 0.0009569% for Alistipes, 0.0000150% for Faecalibaculum, 0.0034639% for Roseburia, 0.0000100% for Lachnospiraceae UCG-001, 0.0025568% for GCA-900066575, 0.0004037% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0012310% for Other_Genus_Level, 0.0037180% for HT002, 0.0015550% for Incertae Sedis, 0.0056618% for Unknown Oscillospiraceae (Family), 0.0041417% for Enterorhabdus, 0.0142542% for Parasutterella, 0.0010815% for Unknown Peptococcaceae (Family), 0.0011812% for Intestinimonas, 0.0016198% for Colidextribacter, 0.0009669% for Oscillibacter, 0.0017942% for Marvinbryantia, 0.0010217% for Unknown Ruminococcaceae (Family)."
DO0562,"The gut microbiome of the individual shows a relative abundance of 0.4746667% for Firmicutes, 0.4132557% for Bacteroidota, 0.0059663% for Actinobacteriota, 0.0355894% for Proteobacteria, 0.0705219% for Verrucomicrobiota, 0.2250634% for Clostridia, 0.4132557% for Bacteroidia, 0.2496033% for Bacilli, 0.0007180% for Actinobacteria, 0.0355894% for Gammaproteobacteria, 0.0705219% for Verrucomicrobiae, 0.0052483% for Coriobacteriia, 0.2009793% for Lachnospirales, 0.4132557% for Bacteroidales, 0.0007180% for Bifidobacteriales, 0.0737671% for Erysipelotrichales, 0.1758362% for Lactobacillales, 0.0030047% for Enterobacterales, 0.0705219% for Verrucomicrobiales, 0.0000036% for Clostridia UCG-014, 0.0239620% for Oscillospirales, 0.0052483% for Coriobacteriales, 0.0000897% for Other_Order_Level, 0.0325847% for Burkholderiales, 0.0000251% for Peptococcales, 0.2009793% for Lachnospiraceae, 0.4071782% for Muribaculaceae, 0.0007180% for Bifidobacteriaceae, 0.0150952% for Erysipelotrichaceae, 0.1758362% for Lactobacillaceae, 0.0030047% for Enterobacteriaceae, 0.0586719% for Erysipelatoclostridiaceae, 0.0705219% for Akkermansiaceae, 0.0000036% for Unknown Clostridia UCG-014 (Order) 1, 0.0060776% for Rikenellaceae, 0.0200383% for Oscillospiraceae, 0.0000897% for Other_Family_Level, 0.0039021% for Ruminococcaceae, 0.0052483% for Eggerthellaceae, 0.0325847% for Sutterellaceae, 0.0000251% for Peptococcaceae, 0.4071782% for Unknown Muribaculaceae (Family), 0.0007180% for Bifidobacterium, 0.0000000% for Turicibacter, 0.0354243% for Unknown Lachnospiraceae (Family), 0.1241573% for Lactobacillus, 0.0643295% for Lachnospiraceae NK4A136 group, 0.0030047% for Escherichia-Shigella, 0.0005277% for [Eubacterium] ventriosum group, 0.0586719% for Erysipelatoclostridium, 0.0559688% for Lachnoclostridium, 0.0001795% for A2, 0.0705219% for Akkermansia, 0.0149013% for Dubosiella, 0.0000036% for Unknown Clostridia UCG-014 (Order) 2, 0.0000000% for Unknown Erysipelatoclostridiaceae (Family), 0.0060776% for Alistipes, 0.0001364% for Faecalibaculum, 0.0022472% for Roseburia, 0.0000072% for Lachnospiraceae UCG-001, 0.0407085% for GCA-900066575, 0.0005959% for Lachnospiraceae UCG-006, 0.0000251% for Blautia, 0.0000897% for Other_Genus_Level, 0.0516790% for HT002, 0.0026421% for Incertae Sedis, 0.0053273% for Unknown Oscillospiraceae (Family), 0.0052483% for Enterorhabdus, 0.0325847% for Parasutterella, 0.0000251% for Unknown Peptococcaceae (Family), 0.0054529% for Intestinimonas, 0.0058837% for Colidextribacter, 0.0033744% for Oscillibacter, 0.0009549% for Marvinbryantia, 0.0012600% for Unknown Ruminococcaceae (Family)."
DO0563,"The gut microbiome of the individual shows a relative abundance of 0.4569303% for Firmicutes, 0.3610240% for Bacteroidota, 0.1219674% for Actinobacteriota, 0.0022245% for Proteobacteria, 0.0578537% for Verrucomicrobiota, 0.4266295% for Clostridia, 0.3610240% for Bacteroidia, 0.0303008% for Bacilli, 0.1195492% for Actinobacteria, 0.0022245% for Gammaproteobacteria, 0.0578537% for Verrucomicrobiae, 0.0024182% for Coriobacteriia, 0.3733087% for Lachnospirales, 0.3610240% for Bacteroidales, 0.1195492% for Bifidobacteriales, 0.0249724% for Erysipelotrichales, 0.0046689% for Lactobacillales, 0.0001675% for Enterobacterales, 0.0578537% for Verrucomicrobiales, 0.0193509% for Clostridia UCG-014, 0.0319862% for Oscillospirales, 0.0024182% for Coriobacteriales, 0.0004240% for Other_Order_Level, 0.0020570% for Burkholderiales, 0.0017482% for Peptococcales, 0.3733087% for Lachnospiraceae, 0.3493308% for Muribaculaceae, 0.1195492% for Bifidobacteriaceae, 0.0021303% for Erysipelotrichaceae, 0.0045433% for Lactobacillaceae, 0.0001675% for Enterobacteriaceae, 0.0228421% for Erysipelatoclostridiaceae, 0.0578537% for Akkermansiaceae, 0.0193509% for Unknown Clostridia UCG-014 (Order) 1, 0.0116932% for Rikenellaceae, 0.0196858% for Oscillospiraceae, 0.0004240% for Other_Family_Level, 0.0119183% for Ruminococcaceae, 0.0024182% for Eggerthellaceae, 0.0020570% for Sutterellaceae, 0.0017482% for Peptococcaceae, 0.3493308% for Unknown Muribaculaceae (Family), 0.1195492% for Bifidobacterium, 0.0000000% for Turicibacter, 0.0968380% for Unknown Lachnospiraceae (Family), 0.0027480% for Lactobacillus, 0.0971207% for Lachnospiraceae NK4A136 group, 0.0001675% for Escherichia-Shigella, 0.1118811% for [Eubacterium] ventriosum group, 0.0151269% for Erysipelatoclostridium, 0.0142998% for Lachnoclostridium, 0.0290812% for A2, 0.0578537% for Akkermansia, 0.0015232% for Dubosiella, 0.0193509% for Unknown Clostridia UCG-014 (Order) 2, 0.0077152% for Unknown Erysipelatoclostridiaceae (Family), 0.0116932% for Alistipes, 0.0000000% for Faecalibaculum, 0.0014132% for Roseburia, 0.0000314% for Lachnospiraceae UCG-001, 0.0172886% for GCA-900066575, 0.0004397% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0018529% for Other_Genus_Level, 0.0017953% for HT002, 0.0099083% for Incertae Sedis, 0.0067783% for Unknown Oscillospiraceae (Family), 0.0023031% for Enterorhabdus, 0.0020570% for Parasutterella, 0.0017482% for Unknown Peptococcaceae (Family), 0.0025124% for Intestinimonas, 0.0035279% for Colidextribacter, 0.0068673% for Oscillibacter, 0.0029835% for Marvinbryantia, 0.0016540% for Unknown Ruminococcaceae (Family)."
DO0564,"The gut microbiome of the individual shows a relative abundance of 0.6704825% for Firmicutes, 0.2557041% for Bacteroidota, 0.0675959% for Actinobacteriota, 0.0062175% for Proteobacteria, 0.0000000% for Verrucomicrobiota, 0.6397652% for Clostridia, 0.2557041% for Bacteroidia, 0.0307173% for Bacilli, 0.0593470% for Actinobacteria, 0.0062175% for Gammaproteobacteria, 0.0000000% for Verrucomicrobiae, 0.0082489% for Coriobacteriia, 0.5859511% for Lachnospirales, 0.2557041% for Bacteroidales, 0.0593470% for Bifidobacteriales, 0.0289440% for Erysipelotrichales, 0.0017732% for Lactobacillales, 0.0000449% for Enterobacterales, 0.0000000% for Verrucomicrobiales, 0.0000000% for Clostridia UCG-014, 0.0531520% for Oscillospirales, 0.0082489% for Coriobacteriales, 0.0005611% for Other_Order_Level, 0.0061726% for Burkholderiales, 0.0000000% for Peptococcales, 0.5859511% for Lachnospiraceae, 0.2534819% for Muribaculaceae, 0.0593470% for Bifidobacteriaceae, 0.0000000% for Erysipelotrichaceae, 0.0017732% for Lactobacillaceae, 0.0000449% for Enterobacteriaceae, 0.0289440% for Erysipelatoclostridiaceae, 0.0000000% for Akkermansiaceae, 0.0000000% for Unknown Clostridia UCG-014 (Order) 1, 0.0022221% for Rikenellaceae, 0.0449816% for Oscillospiraceae, 0.0005611% for Other_Family_Level, 0.0078224% for Ruminococcaceae, 0.0082489% for Eggerthellaceae, 0.0061726% for Sutterellaceae, 0.0000000% for Peptococcaceae, 0.2534819% for Unknown Muribaculaceae (Family), 0.0593470% for Bifidobacterium, 0.0000000% for Turicibacter, 0.2260193% for Unknown Lachnospiraceae (Family), 0.0017732% for Lactobacillus, 0.0433207% for Lachnospiraceae NK4A136 group, 0.0000449% for Escherichia-Shigella, 0.0218960% for [Eubacterium] ventriosum group, 0.0180353% for Erysipelatoclostridium, 0.1773902% for Lachnoclostridium, 0.0000112% for A2, 0.0000000% for Akkermansia, 0.0000000% for Dubosiella, 0.0000000% for Unknown Clostridia UCG-014 (Order) 2, 0.0109087% for Unknown Erysipelatoclostridiaceae (Family), 0.0022221% for Alistipes, 0.0000000% for Faecalibaculum, 0.0202575% for Roseburia, 0.0000000% for Lachnospiraceae UCG-001, 0.0532642% for GCA-900066575, 0.0368899% for Lachnospiraceae UCG-006, 0.0002245% for Blautia, 0.0032883% for Other_Genus_Level, 0.0000000% for HT002, 0.0034679% for Incertae Sedis, 0.0153418% for Unknown Oscillospiraceae (Family), 0.0082264% for Enterorhabdus, 0.0061726% for Parasutterella, 0.0000000% for Unknown Peptococcaceae (Family), 0.0125248% for Intestinimonas, 0.0096630% for Colidextribacter, 0.0074520% for Oscillibacter, 0.0019191% for Marvinbryantia, 0.0025701% for Unknown Ruminococcaceae (Family)."
DO0565,"The gut microbiome of the individual shows a relative abundance of 0.3167372% for Firmicutes, 0.2729302% for Bacteroidota, 0.3981599% for Actinobacteriota, 0.0000247% for Proteobacteria, 0.0121480% for Verrucomicrobiota, 0.2328478% for Clostridia, 0.2729302% for Bacteroidia, 0.0838893% for Bacilli, 0.3916481% for Actinobacteria, 0.0000247% for Gammaproteobacteria, 0.0121480% for Verrucomicrobiae, 0.0065118% for Coriobacteriia, 0.2107223% for Lachnospirales, 0.2729302% for Bacteroidales, 0.3916481% for Bifidobacteriales, 0.0625902% for Erysipelotrichales, 0.0212992% for Lactobacillales, 0.0000247% for Enterobacterales, 0.0121480% for Verrucomicrobiales, 0.0006167% for Clostridia UCG-014, 0.0208798% for Oscillospirales, 0.0065118% for Coriobacteriales, 0.0003330% for Other_Order_Level, 0.0000000% for Burkholderiales, 0.0000000% for Peptococcales, 0.2107223% for Lachnospiraceae, 0.2530863% for Muribaculaceae, 0.3916481% for Bifidobacteriaceae, 0.0625902% for Erysipelotrichaceae, 0.0212992% for Lactobacillaceae, 0.0000247% for Enterobacteriaceae, 0.0000000% for Erysipelatoclostridiaceae, 0.0121480% for Akkermansiaceae, 0.0006167% for Unknown Clostridia UCG-014 (Order) 1, 0.0198439% for Rikenellaceae, 0.0150340% for Oscillospiraceae, 0.0005797% for Other_Family_Level, 0.0046989% for Ruminococcaceae, 0.0065118% for Eggerthellaceae, 0.0000000% for Sutterellaceae, 0.0000000% for Peptococcaceae, 0.2530863% for Unknown Muribaculaceae (Family), 0.3916481% for Bifidobacterium, 0.0000000% for Turicibacter, 0.0644155% for Unknown Lachnospiraceae (Family), 0.0152066% for Lactobacillus, 0.0498625% for Lachnospiraceae NK4A136 group, 0.0000247% for Escherichia-Shigella, 0.0521564% for [Eubacterium] ventriosum group, 0.0000000% for Erysipelatoclostridium, 0.0276383% for Lachnoclostridium, 0.0067462% for A2, 0.0121480% for Akkermansia, 0.0625902% for Dubosiella, 0.0006167% for Unknown Clostridia UCG-014 (Order) 2, 0.0000000% for Unknown Erysipelatoclostridiaceae (Family), 0.0198439% for Alistipes, 0.0000000% for Faecalibaculum, 0.0038849% for Roseburia, 0.0001603% for Lachnospiraceae UCG-001, 0.0035149% for GCA-900066575, 0.0002837% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0009250% for Other_Genus_Level, 0.0060925% for HT002, 0.0028736% for Incertae Sedis, 0.0058952% for Unknown Oscillospiraceae (Family), 0.0052292% for Enterorhabdus, 0.0000000% for Parasutterella, 0.0000000% for Unknown Peptococcaceae (Family), 0.0014430% for Intestinimonas, 0.0025653% for Colidextribacter, 0.0051305% for Oscillibacter, 0.0020103% for Marvinbryantia, 0.0014676% for Unknown Ruminococcaceae (Family)."
DO0566,"The gut microbiome of the individual shows a relative abundance of 0.6232977% for Firmicutes, 0.2443095% for Bacteroidota, 0.1267482% for Actinobacteriota, 0.0056446% for Proteobacteria, 0.0000000% for Verrucomicrobiota, 0.4753196% for Clostridia, 0.2443095% for Bacteroidia, 0.1479781% for Bacilli, 0.1210608% for Actinobacteria, 0.0056446% for Gammaproteobacteria, 0.0000000% for Verrucomicrobiae, 0.0056875% for Coriobacteriia, 0.4064879% for Lachnospirales, 0.2443095% for Bacteroidales, 0.1210608% for Bifidobacteriales, 0.0157815% for Erysipelotrichales, 0.1317799% for Lactobacillales, 0.0038121% for Enterobacterales, 0.0000000% for Verrucomicrobiales, 0.0000000% for Clostridia UCG-014, 0.0683598% for Oscillospirales, 0.0056875% for Coriobacteriales, 0.0004168% for Other_Order_Level, 0.0018325% for Burkholderiales, 0.0000000% for Peptococcales, 0.4064879% for Lachnospiraceae, 0.2393268% for Muribaculaceae, 0.1210608% for Bifidobacteriaceae, 0.0000000% for Erysipelotrichaceae, 0.1315654% for Lactobacillaceae, 0.0038121% for Enterobacteriaceae, 0.0157815% for Erysipelatoclostridiaceae, 0.0000000% for Akkermansiaceae, 0.0000000% for Unknown Clostridia UCG-014 (Order) 1, 0.0049827% for Rikenellaceae, 0.0487663% for Oscillospiraceae, 0.0004168% for Other_Family_Level, 0.0192932% for Ruminococcaceae, 0.0056875% for Eggerthellaceae, 0.0018325% for Sutterellaceae, 0.0000000% for Peptococcaceae, 0.2393268% for Unknown Muribaculaceae (Family), 0.1210608% for Bifidobacterium, 0.0000000% for Turicibacter, 0.1693796% for Unknown Lachnospiraceae (Family), 0.0977961% for Lactobacillus, 0.0237917% for Lachnospiraceae NK4A136 group, 0.0038121% for Escherichia-Shigella, 0.1126521% for [Eubacterium] ventriosum group, 0.0156160% for Erysipelatoclostridium, 0.0392851% for Lachnoclostridium, 0.0137161% for A2, 0.0000000% for Akkermansia, 0.0000000% for Dubosiella, 0.0000000% for Unknown Clostridia UCG-014 (Order) 2, 0.0001655% for Unknown Erysipelatoclostridiaceae (Family), 0.0049827% for Alistipes, 0.0000000% for Faecalibaculum, 0.0205864% for Roseburia, 0.0000552% for Lachnospiraceae UCG-001, 0.0080225% for GCA-900066575, 0.0145128% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0015873% for Other_Genus_Level, 0.0337693% for HT002, 0.0161247% for Incertae Sedis, 0.0272483% for Unknown Oscillospiraceae (Family), 0.0056875% for Enterorhabdus, 0.0018325% for Parasutterella, 0.0000000% for Unknown Peptococcaceae (Family), 0.0028866% for Intestinimonas, 0.0103821% for Colidextribacter, 0.0082493% for Oscillibacter, 0.0027273% for Marvinbryantia, 0.0015261% for Unknown Ruminococcaceae (Family)."
DO0567,"The gut microbiome of the individual shows a relative abundance of 0.3683357% for Firmicutes, 0.6187412% for Bacteroidota, 0.0051559% for Actinobacteriota, 0.0077673% for Proteobacteria, 0.0000000% for Verrucomicrobiota, 0.3099695% for Clostridia, 0.6187412% for Bacteroidia, 0.0583662% for Bacilli, 0.0000000% for Actinobacteria, 0.0077673% for Gammaproteobacteria, 0.0000000% for Verrucomicrobiae, 0.0051559% for Coriobacteriia, 0.2469757% for Lachnospirales, 0.6187412% for Bacteroidales, 0.0000000% for Bifidobacteriales, 0.0486199% for Erysipelotrichales, 0.0086452% for Lactobacillales, 0.0013466% for Enterobacterales, 0.0000000% for Verrucomicrobiales, 0.0168737% for Clostridia UCG-014, 0.0299457% for Oscillospirales, 0.0051559% for Coriobacteriales, 0.0011011% for Other_Order_Level, 0.0064207% for Burkholderiales, 0.0158545% for Peptococcales, 0.2469757% for Lachnospiraceae, 0.6130943% for Muribaculaceae, 0.0000000% for Bifidobacteriaceae, 0.0333978% for Erysipelotrichaceae, 0.0076557% for Lactobacillaceae, 0.0013466% for Enterobacteriaceae, 0.0152221% for Erysipelatoclostridiaceae, 0.0000000% for Akkermansiaceae, 0.0168737% for Unknown Clostridia UCG-014 (Order) 1, 0.0056469% for Rikenellaceae, 0.0222454% for Oscillospiraceae, 0.0011681% for Other_Family_Level, 0.0064281% for Ruminococcaceae, 0.0051559% for Eggerthellaceae, 0.0064207% for Sutterellaceae, 0.0158545% for Peptococcaceae, 0.6130943% for Unknown Muribaculaceae (Family), 0.0000000% for Bifidobacterium, 0.0000000% for Turicibacter, 0.0323116% for Unknown Lachnospiraceae (Family), 0.0041961% for Lactobacillus, 0.0189718% for Lachnospiraceae NK4A136 group, 0.0013466% for Escherichia-Shigella, 0.1504278% for [Eubacterium] ventriosum group, 0.0045235% for Erysipelatoclostridium, 0.0139796% for Lachnoclostridium, 0.0113087% for A2, 0.0000000% for Akkermansia, 0.0333309% for Dubosiella, 0.0168737% for Unknown Clostridia UCG-014 (Order) 2, 0.0106986% for Unknown Erysipelatoclostridiaceae (Family), 0.0056469% for Alistipes, 0.0000000% for Faecalibaculum, 0.0117328% for Roseburia, 0.0000670% for Lachnospiraceae UCG-001, 0.0038613% for GCA-900066575, 0.0002083% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0012871% for Other_Genus_Level, 0.0034596% for HT002, 0.0029090% for Incertae Sedis, 0.0074548% for Unknown Oscillospiraceae (Family), 0.0038464% for Enterorhabdus, 0.0064207% for Parasutterella, 0.0158545% for Unknown Peptococcaceae (Family), 0.0028941% for Intestinimonas, 0.0063611% for Colidextribacter, 0.0049847% for Oscillibacter, 0.0025519% for Marvinbryantia, 0.0020683% for Unknown Ruminococcaceae (Family)."
DO0568,"The gut microbiome of the individual shows a relative abundance of 0.6055138% for Firmicutes, 0.1967794% for Bacteroidota, 0.1926844% for Actinobacteriota, 0.0047667% for Proteobacteria, 0.0002557% for Verrucomicrobiota, 0.4795637% for Clostridia, 0.1967794% for Bacteroidia, 0.1259501% for Bacilli, 0.1840046% for Actinobacteria, 0.0047667% for Gammaproteobacteria, 0.0002557% for Verrucomicrobiae, 0.0086798% for Coriobacteriia, 0.4270473% for Lachnospirales, 0.1967794% for Bacteroidales, 0.1840046% for Bifidobacteriales, 0.0125192% for Erysipelotrichales, 0.1129672% for Lactobacillales, 0.0025220% for Enterobacterales, 0.0002557% for Verrucomicrobiales, 0.0000693% for Clostridia UCG-014, 0.0520397% for Oscillospirales, 0.0086798% for Coriobacteriales, 0.0004637% for Other_Order_Level, 0.0022447% for Burkholderiales, 0.0000130% for Peptococcales, 0.4270473% for Lachnospiraceae, 0.1955661% for Muribaculaceae, 0.1840046% for Bifidobacteriaceae, 0.0039867% for Erysipelotrichaceae, 0.1129282% for Lactobacillaceae, 0.0025220% for Enterobacteriaceae, 0.0085325% for Erysipelatoclostridiaceae, 0.0002557% for Akkermansiaceae, 0.0000693% for Unknown Clostridia UCG-014 (Order) 1, 0.0012133% for Rikenellaceae, 0.0389832% for Oscillospiraceae, 0.0008233% for Other_Family_Level, 0.0118085% for Ruminococcaceae, 0.0086798% for Eggerthellaceae, 0.0022447% for Sutterellaceae, 0.0000130% for Peptococcaceae, 0.1955661% for Unknown Muribaculaceae (Family), 0.1840046% for Bifidobacterium, 0.0001560% for Turicibacter, 0.1148826% for Unknown Lachnospiraceae (Family), 0.1017611% for Lactobacillus, 0.1824099% for Lachnospiraceae NK4A136 group, 0.0025220% for Escherichia-Shigella, 0.0790888% for [Eubacterium] ventriosum group, 0.0070894% for Erysipelatoclostridium, 0.0221870% for Lachnoclostridium, 0.0116698% for A2, 0.0002557% for Akkermansia, 0.0035404% for Dubosiella, 0.0000693% for Unknown Clostridia UCG-014 (Order) 2, 0.0014430% for Unknown Erysipelatoclostridiaceae (Family), 0.0012133% for Alistipes, 0.0000303% for Faecalibaculum, 0.0090741% for Roseburia, 0.0002600% for Lachnospiraceae UCG-001, 0.0057981% for GCA-900066575, 0.0006457% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0008580% for Other_Genus_Level, 0.0111672% for HT002, 0.0071718% for Incertae Sedis, 0.0172166% for Unknown Oscillospiraceae (Family), 0.0084848% for Enterorhabdus, 0.0022447% for Parasutterella, 0.0000130% for Unknown Peptococcaceae (Family), 0.0035751% for Intestinimonas, 0.0068641% for Colidextribacter, 0.0112192% for Oscillibacter, 0.0003727% for Marvinbryantia, 0.0033930% for Unknown Ruminococcaceae (Family)."
DO0569,"The gut microbiome of the individual shows a relative abundance of 0.4540770% for Firmicutes, 0.3642557% for Bacteroidota, 0.1736969% for Actinobacteriota, 0.0047241% for Proteobacteria, 0.0032463% for Verrucomicrobiota, 0.1740270% for Clostridia, 0.3642557% for Bacteroidia, 0.2800500% for Bacilli, 0.1698891% for Actinobacteria, 0.0047241% for Gammaproteobacteria, 0.0032463% for Verrucomicrobiae, 0.0038078% for Coriobacteriia, 0.1563770% for Lachnospirales, 0.3642557% for Bacteroidales, 0.1698891% for Bifidobacteriales, 0.2707300% for Erysipelotrichales, 0.0091772% for Lactobacillales, 0.0028374% for Enterobacterales, 0.0032463% for Verrucomicrobiales, 0.0001576% for Clostridia UCG-014, 0.0160490% for Oscillospirales, 0.0038078% for Coriobacteriales, 0.0010739% for Other_Order_Level, 0.0018867% for Burkholderiales, 0.0000000% for Peptococcales, 0.1563770% for Lachnospiraceae, 0.3309409% for Muribaculaceae, 0.1698891% for Bifidobacteriaceae, 0.2208785% for Erysipelotrichaceae, 0.0091329% for Lactobacillaceae, 0.0028374% for Enterobacteriaceae, 0.0498515% for Erysipelatoclostridiaceae, 0.0032463% for Akkermansiaceae, 0.0001576% for Unknown Clostridia UCG-014 (Order) 1, 0.0333148% for Rikenellaceae, 0.0131722% for Oscillospiraceae, 0.0010739% for Other_Family_Level, 0.0025172% for Ruminococcaceae, 0.0038078% for Eggerthellaceae, 0.0018867% for Sutterellaceae, 0.0000000% for Peptococcaceae, 0.3309409% for Unknown Muribaculaceae (Family), 0.1698891% for Bifidobacterium, 0.2113368% for Turicibacter, 0.0650434% for Unknown Lachnospiraceae (Family), 0.0071625% for Lactobacillus, 0.0414723% for Lachnospiraceae NK4A136 group, 0.0028374% for Escherichia-Shigella, 0.0198027% for [Eubacterium] ventriosum group, 0.0495313% for Erysipelatoclostridium, 0.0145663% for Lachnoclostridium, 0.0053497% for A2, 0.0032463% for Akkermansia, 0.0094974% for Dubosiella, 0.0001576% for Unknown Clostridia UCG-014 (Order) 2, 0.0003202% for Unknown Erysipelatoclostridiaceae (Family), 0.0333148% for Alistipes, 0.0000000% for Faecalibaculum, 0.0009458% for Roseburia, 0.0000000% for Lachnospiraceae UCG-001, 0.0030936% for GCA-900066575, 0.0001872% for Lachnospiraceae UCG-006, 0.0021970% for Blautia, 0.0012512% for Other_Genus_Level, 0.0019704% for HT002, 0.0017389% for Incertae Sedis, 0.0056600% for Unknown Oscillospiraceae (Family), 0.0038078% for Enterorhabdus, 0.0018867% for Parasutterella, 0.0000000% for Unknown Peptococcaceae (Family), 0.0017143% for Intestinimonas, 0.0035862% for Colidextribacter, 0.0022118% for Oscillibacter, 0.0016946% for Marvinbryantia, 0.0006798% for Unknown Ruminococcaceae (Family)."
DO0570,"The gut microbiome of the individual shows a relative abundance of 0.4068384% for Firmicutes, 0.4089069% for Bacteroidota, 0.1717215% for Actinobacteriota, 0.0125332% for Proteobacteria, 0.0000000% for Verrucomicrobiota, 0.3077089% for Clostridia, 0.4089069% for Bacteroidia, 0.0991295% for Bacilli, 0.1664757% for Actinobacteria, 0.0125332% for Gammaproteobacteria, 0.0000000% for Verrucomicrobiae, 0.0052458% for Coriobacteriia, 0.2574881% for Lachnospirales, 0.4089069% for Bacteroidales, 0.1664757% for Bifidobacteriales, 0.0804252% for Erysipelotrichales, 0.0170936% for Lactobacillales, 0.0006560% for Enterobacterales, 0.0000000% for Verrucomicrobiales, 0.0032851% for Clostridia UCG-014, 0.0431660% for Oscillospirales, 0.0052458% for Coriobacteriales, 0.0028395% for Other_Order_Level, 0.0118771% for Burkholderiales, 0.0004626% for Peptococcales, 0.2574881% for Lachnospiraceae, 0.4047161% for Muribaculaceae, 0.1664757% for Bifidobacteriaceae, 0.0716863% for Erysipelotrichaceae, 0.0167827% for Lactobacillaceae, 0.0006560% for Enterobacteriaceae, 0.0087389% for Erysipelatoclostridiaceae, 0.0000000% for Akkermansiaceae, 0.0032851% for Unknown Clostridia UCG-014 (Order) 1, 0.0041908% for Rikenellaceae, 0.0386007% for Oscillospiraceae, 0.0028395% for Other_Family_Level, 0.0039949% for Ruminococcaceae, 0.0052458% for Eggerthellaceae, 0.0118771% for Sutterellaceae, 0.0004626% for Peptococcaceae, 0.4047161% for Unknown Muribaculaceae (Family), 0.1664757% for Bifidobacterium, 0.0002081% for Turicibacter, 0.0859085% for Unknown Lachnospiraceae (Family), 0.0142540% for Lactobacillus, 0.0837813% for Lachnospiraceae NK4A136 group, 0.0006560% for Escherichia-Shigella, 0.0011774% for [Eubacterium] ventriosum group, 0.0087389% for Erysipelatoclostridium, 0.0083130% for Lachnoclostridium, 0.0268043% for A2, 0.0000000% for Akkermansia, 0.0709887% for Dubosiella, 0.0032851% for Unknown Clostridia UCG-014 (Order) 2, 0.0000000% for Unknown Erysipelatoclostridiaceae (Family), 0.0041908% for Alistipes, 0.0004700% for Faecalibaculum, 0.0372201% for Roseburia, 0.0000612% for Lachnospiraceae UCG-001, 0.0072262% for GCA-900066575, 0.0041247% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0028395% for Other_Genus_Level, 0.0025287% for HT002, 0.0024650% for Incertae Sedis, 0.0203297% for Unknown Oscillospiraceae (Family), 0.0050451% for Enterorhabdus, 0.0118771% for Parasutterella, 0.0004626% for Unknown Peptococcaceae (Family), 0.0095198% for Intestinimonas, 0.0040170% for Colidextribacter, 0.0047342% for Oscillibacter, 0.0021027% for Marvinbryantia, 0.0012705% for Unknown Ruminococcaceae (Family)."
